CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE
6009031002,6009031002t1,North City WRP (Water Reuse),['CA0109398'],385024.0,Water Reuse,32.0,San Diego,CA
6009031004,6009031004t0,South Bay WRP (Treatment Plant),['CA0108928'],146085.0,Treatment Plant,18.0,San Diego,CA
6009031004,6009031004t1,South Bay WRP (Water Reuse),['CA0108928'],146085.0,Water Reuse,18.0,San Diego,CA
6009032001,6009032001t0,Hale Avenue RRF (Collection: Separate Sewers),['CA0107981'],180000.0,Collection: Separate Sewers,18.0,San Diego,CA
6009032001,6009032001t1,Hale Avenue RRF (Treatment Plant),['CA0107981'],180000.0,Treatment Plant,18.0,San Diego,CA
6009032001,6009032001t2,Hale Avenue RRF (Water Reuse),['CA0107981'],180000.0,Water Reuse,18.0,San Diego,CA
6009033001,6009033001,Laguna Beach Collection System,['2006-0003-DWQ'],21600.0,Collection: Separate Sewers,,Orange,CA
6009035001,6009035001,Vista Collection System,,90098.0,Collection: Separate Sewers,,San Diego,CA
6009036001,6009036001t0,Padre Dam WRF (Collection: Separate Sewers),['CA0107492'],36000.0,Collection: Separate Sewers,2.0,San Diego,CA
6009036001,6009036001t1,Padre Dam WRF (Treatment Plant),['CA0107492'],36000.0,Treatment Plant,2.0,San Diego,CA
6009036001,6009036001t2,Padre Dam WRF (Water Reuse),['CA0107492'],36000.0,Water Reuse,2.0,San Diego,CA
6009038001,6009038001t0,"San Clemente, City of (Water Reclamation Plant) (Collection: Separate Sewers)",['CA0107417'],45723.0,Collection: Separate Sewers,7.0,,CA
6009038001,6009038001t1,"San Clemente, City of (Water Reclamation Plant) (Treatment Plant)",['CA0107417'],45723.0,Treatment Plant,7.0,,CA
6009038001,6009038001t2,"San Clemente, City of (Water Reclamation Plant) (Water Reuse)",['CA0107417'],45723.0,Water Reuse,7.0,,CA
6009039001,6009039001t0,Lower Moosa Canyon WRF (Collection: Separate Sewers),,2001.0,Collection: Separate Sewers,0.5,,CA
6009039001,6009039001t1,Lower Moosa Canyon WRF (Treatment Plant),,2001.0,Treatment Plant,0.5,,CA
6009040001,6009040001t0,Meadowlark Water Reclam. Facility (Collection: Separate Sewers),"['R9-2007-0018', 'CA0107395']",94500.0,Collection: Separate Sewers,5.0,San Diego,CA
6009040001,6009040001t1,Meadowlark Water Reclam. Facility (Treatment Plant),"['R9-2007-0018', 'CA0107395']",94500.0,Treatment Plant,5.0,San Diego,CA
6009041001,6009041001,"Oceanside, City of (La Salina WWTF)",['CA0107433'],38102.0,Collection: Pump Stations,5.5,San Diego,CA
6009041001,6009041001t0,"Oceanside, City of (La Salina WWTF) (Treatment Plant)",['CA0107433'],38102.0,Treatment Plant,5.5,San Diego,CA
6009041002,6009041002,"Oceanside, City of (San Luis Rey WWTF)",['CA0107433'],184660.0,Collection: Pump Stations,15.5,San Diego,CA
6009041002,6009041002t0,"Oceanside, City of (San Luis Rey WWTF) (Collection: Separate Sewers)",['CA0107433'],184660.0,Collection: Separate Sewers,15.5,San Diego,CA
6009041002,6009041002t1,"Oceanside, City of (San Luis Rey WWTF) (Treatment Plant)",['CA0107433'],184660.0,Treatment Plant,15.5,San Diego,CA
6009041002,6009041002t2,"Oceanside, City of (San Luis Rey WWTF) (Water Reuse)",['CA0107433'],184660.0,Water Reuse,15.5,San Diego,CA
