"CWNS_ID","FACILITY_ID","STATE_CODE","HUC","WATERSHED_NAME","WATERSHED_PRIMARY_FLAG"
"26003076001",1088882,MI,"04050001",St. Joseph,Y
"05000239002",1105067,AR,"08040205",Bayou Bartholomew,Y
"78000001002",1143867,VI,"21020002",St. Croix,Y
"40000810001",1172883,OK,"11070105",Lower Verdigris,Y
"06001036001",1175202,CA,"18010110",Russian,Y
"56000062001",1194820,WY,"10080007",Upper Bighorn,Y
"36007053010",3525436,NY,"04140201",Seneca,Y
"33000290001",3541584,NH,"01080106",Black-Ottauquechee,Y
"41000234001",1164449,OR,"17100306",Sixes,Y
"55004420001",1206632,WI,"04030102",Door-Kewaunee,Y
"05000001008",1104851,AR,"11110207",Lower Arkansas-Maumelle,Y
"01000349001",1102161,AL,"03150204",Lower Alabama,Y
"17000517001",1113794,IL,"07130009",Salt,Y
"17000551001",1113828,IL,"07120004",Des Plaines,Y
"18002120001",1120271,IN,"05120105",Middle Wabash-Deer,Y
"42005074001",1227222,PA,"05010009",Lower Allegheny,Y
"27000253001",1231502,MN,"07020005",Chippewa,Y
"36005051001",1232133,NY,"02020001",Upper Hudson,Y
"29002473001",1233261,MO,"11070207",Spring,Y
"08209000103",3500255,CO,"10190012",Middle South Platte-Sterling,Y
"12000700063",3500475,FL,"03110206",Santa Fe,Y
"29004100001",1134110,MO,"10290106",Sac,Y
"12000701041",3501083,FL,"03080102",Oklawaha,Y
"53000835001",1180857,WA,"17030001",Upper Yakima,Y
"25000118001",1092412,MA,"01090001",Charles,Y
"01000048001",1101877,AL,"03160109",Mulberry,Y
"08209000127",3500279,CO,"11020003",Fountain,Y
"24070022004",3513216,MD,"02060002",Chester-Sassafras,Y
"01000285001",1102112,AL,"03140202",Pea,Y
"05000660001",1105458,AR,"08020302",Cache,Y
"08192000000",462150,CO,"11020005",Upper Arkansas-Lake Meredith,Y
"20002004189",450518,KS,"11040006",Upper Cimarron-Liberal,Y
"08100200025",450651,CO,"10190005",St. Vrain,Y
"08000105001",1066906,CO,"13010002",Alamosa-Trinchera,Y
"34008506001",1073937,NJ,"02040105",Middle Delaware-Musconetcong,Y
"34002532001",1073614,NJ,"02030105",Raritan,Y
"34002534001",1073616,NJ,"02030105",Raritan,Y
"12000127001",1078279,FL,"03080102",Oklawaha,Y
"12000138001",1078296,FL,"03070205",Nassau,Y
"55004960001",1229246,WI,"07070005",Lower Wisconsin,Y
"27003412001",1231528,MN,"07020012",Lower Minnesota,Y
"54002803001",1095031,WV,"02070002",North Branch Potomac,Y
"01000132001",1101966,AL,"03160109",Mulberry,Y
"01000418003",1102225,AL,"03130004",Lower Chattahoochee,Y
"17009301001",1114409,IL,"07130009",Salt,Y
"18004492001",1120368,IN,"05120106",Tippecanoe,Y
"15000009005",1123290,HI,"20040000",Lanai,Y
"29002233001",1133744,MO,"07140107",Whitewater,Y
"12000088005",1239611,FL,"03140101",St. Andrew-St. Joseph Bays,Y
"19000175001",1123598,IA,"07080209",Lower Iowa,Y
"21000001002",1139469,KY,"05100205",Lower Kentucky,Y
"21000098001",1139562,KY,"08010201",Bayou De Chien-Mayfield,Y
"31000550001",1145840,NE,"10210003",Lower Middle Loup,Y
"12000701007",3501016,FL,"03130012",Chipola,Y
"55002995005",3332370,WI,"04040003",Milwaukee,Y
"34180404102",3466430,NJ,"02040202",Lower Delaware,Y
"12000701027",3501051,FL,"03090101",Kissimmee,Y
"31000530001",1145839,NE,"10150004",Middle Niobrara,Y
"35200900303",3514116,NM,"14080104",Animas,Y
"33000247001",3521797,NH,"01070006",Merrimack River,Y
"40000450001",1172695,OK,"11130303",Middle Washita,Y
"06002025001",1175283,CA,"18050001",Suisun Bay,Y
"06002049001",1175309,CA,"18050006",San Francisco Coastal South,Y
"29001237048",460549,MO,"10300102",Lower Missouri-Moreau,Y
"17000525002",3542696,IL,"07120004",Des Plaines,Y
"56000072001",1194828,WY,"10180007",Middle North Platte-Casper,Y
"55001970001",1206270,WI,"07040007",Black,Y
"36007150001",1221143,NY,"04140201",Seneca,Y
"41000071001",1164333,OR,"17090006",South Santiam,Y
"41000164001",1164405,OR,"17070103",Umatilla,Y
"22000700003",1168223,LA,"08080103",Vermilion,Y
"08000160003",1066955,CO,"14010005",Colorado Headwaters-Plateau,Y
"08000304001",1067090,CO,"10250003",South Fork Republican,Y
"26002139001",1088795,MI,"04050002",Black-Macatawa,Y
"55000580001",1229143,WI,"07090004",Sugar,Y
"31000020001",1230163,NE,"10210009",Loup,Y
"05000043001",2905002,AR,"11010003",Bull Shoals Lake,Y
"34180408801",3310698,NJ,"02040202",Lower Delaware,Y
"19000325001",1123731,IA,"07080208",Middle Iowa,Y
"08000157002",1066951,CO,"11020003",Fountain,Y
"72000004001",1144033,PR,"21010004",Southern Puerto Rico,Y
"31001845001",1146006,NE,"10210007",Lower North Loup,Y
"51001400103",3358511,VA,"06010102",South Fork Holston,Y
"36005180001",3484352,NY,"02020003",Hudson-Hoosic,Y
"12000700015",3500364,FL,"03080103",Lower St. Johns,Y
"12000265001",1078393,FL,"03080102",Oklawaha,Y
"06003037001",1175402,CA,"18060013",Santa Barbara Coastal,Y
"48006066002",1183724,TX,"12040103",East Fork San Jacinto,Y
"06003094001",406088,CA,"18060006",Central Coastal,Y
"36004071001",1220772,NY,"02020006",Middle Hudson,Y
"55000026001",1206021,WI,"07060005",Apple-Plum,Y
"31000067001",1145759,NE,"10150001",Ponca,Y
"12000016007",1239570,FL,"03080103",Lower St. Johns,Y
"31000260001",1230176,NE,"10230006",Big Papillion-Mosquito,Y
"27000180001",1231495,MN,"07100001",Des Moines Headwaters,Y
"50000013001",1094063,VT,"01080107",West,Y
"50000053001",1094104,VT,"04150403",,
"17000367001",1113636,IL,"07090007",Green,Y
"36006031001",1232139,NY,"04150301",Upper St. Lawrence,Y
"22003315001",1168515,LA,"08080102",Bayou Teche,Y
"53000080001",1180749,WA,"17110004",Nooksack,Y
"53200802018",3506200,WA,"17110019",Puget Sound,Y
"26007003017",3539144,MI,"04060102",Muskegon,Y
"51000010155",3541148,VA,"02080206",Lower James,Y
"54002006002",3513322,WV,"05050006",Upper Kanawha,Y
"54003508002",3513600,WV,"05030106",Upper Ohio-Wheeling,Y
"51070000015",3514938,VA,"05070202",Upper Levisa,Y
"01000265001",1102095,AL,"03160106",Middle Tombigbee-Lubbub,Y
"29001230001",1133561,MO,"10300102",Lower Missouri-Moreau,Y
"55000010001",1206004,WI,"07070002",Lake Dubay,Y
"06023029001",3378890,CA,"18060005",Salinas,Y
"18000039001",1120085,IN,"05120201",Upper White,Y
"51000010185",3541501,VA,"05050001",Upper New,Y
"08201200058",3529656,CO,"11020003",Fountain,Y
"26007003015",3539142,MI,"04080201",Tittabawassee,Y
"51000010070",3541514,VA,"02080206",Lower James,Y
"36003059001",1220458,NY,"02030103",Hackensack-Passaic,Y
"55002330001",1229189,WI,"07090001",Upper Rock,Y
"18005331001",1234219,IN,"05120203",Eel,Y
"27044000120",423747,MN,"07010101",Mississippi Headwaters,Y
"54005003002",3513416,WV,"05090102",Twelvepole,Y
"34001082001",1073312,NJ,"02030104",Sandy Hook-Staten Island,Y
"21000094001",1139559,KY,"05130101",Upper Cumberland,Y
"23000133001",1142571,ME,"01060003",Piscataqua-Salmon Falls,Y
"29002362003",2979243,MO,"11010003",Bull Shoals Lake,Y
"38000154001",1151399,ND,"10130201",Knife,Y
"44000013001",1144295,RI,"01090004",Narragansett,Y
"34005086001",1073744,NJ,"02040206",Cohansey-Maurice,Y
"36006142002",3605757,NY,"04150102",Chaumont-Perch,Y
"12000104005",1078251,FL,"03090204",Big Cypress Swamp,Y
"36005056001",1220867,NY,"02020003",Hudson-Hoosic,Y
"28001370001",1160522,MS,"08060203",Bayou Pierre,Y
"47001360001",1166204,TN,"06030001",Guntersville Lake,Y
"23000110002",3605342,ME,"01020004",Piscataquis,Y
"22000675004",1168220,LA,"08090100",Lower Mississippi-New Orleans,Y
"40000407001",1172667,OK,"11070209",Lower Neosho,Y
"54005407001",1095319,WV,"05030202",Upper Ohio-Shade,Y
"36007132002",3094108,NY,"04140201",Seneca,Y
"09000000005",3600845,CT,"01080205",Lower Connecticut,Y
"09001580002",3601705,CT,"01100006",Saugatuck,Y
"34007083002",3601709,NJ,"02040202",Lower Delaware,Y
"39002813102",3601191,OH,"05060001",Upper Scioto,Y
"53002622002",3601607,WA,"17110017",Skokomish,Y
"09001090003",3601204,CT,"01100001",Quinebaug,Y
"09000360002",3601886,CT,"01080205",Lower Connecticut,Y
"09000620002",3602327,CT,"01100004",Quinnipiac,Y
"36004016001",1220708,NY,"02040101",Upper Delaware,Y
"34002109004",1073529,NJ,"02030103",Hackensack-Passaic,Y
"41000022001",1164278,OR,"17090010",Tualatin,Y
"41000194001",1164423,OR,"17070306",Lower Deschutes,Y
"40000028001",1172450,OK,"11090204",Lower Canadian,Y
"26001112001",1088683,MI,"04050004",Upper Grand,Y
"53002012046",3528516,WA,"17110012",Lake Washington,Y
"45042168001",381096,SC,"03040201",Lower Pee Dee,Y
"08201200053",3529497,CO,"13010004",Saguache,Y
"51000010148",3541140,VA,"03010102",Middle Roanoke,Y
"48007039021",1183830,TX,"12040104",Buffalo-San Jacinto,Y
"33000332001",3541656,NH,"01080106",Black-Ottauquechee,Y
"08201200026",3528596,CO,"14010002",Blue,Y
"18120000104",3542917,IN,"05120109",Vermilion,
"34001194001",3102048,NJ,"02030103",Hackensack-Passaic,Y
"34001105001",1073319,NJ,"02030103",Hackensack-Passaic,Y
"34006171001",1073820,NJ,"02040202",Lower Delaware,Y
"26002009001",1088708,MI,"04070001",St. Marys,Y
"34002097001",1073520,NJ,"02030105",Raritan,Y
"22000395001",1237406,LA,"08080201",Mermentau Headwaters,Y
"21000056006",485870,KY,"05090201",Ohio Brush-Whiteoak,Y
"21000085001",1139550,KY,"06040006",Lower Tennessee,Y
"04002801024",439664,AZ,"15050100",Middle Gila,
"20002004113",448970,KS,"11030012",Little Arkansas,Y
"31000197001",1145777,NE,"10270205",Lower Big Blue,Y
"17000004001",1113297,IL,"07140202",Middle Kaskaskia,Y
"18000507001",1120196,IN,"05120201",Upper White,Y
"19000526001",1123915,IA,"10240002",West Nishnabotna,Y
"55009806001",1206965,WI,"04030101",Manitowoc-Sheboygan,Y
"06008023003",2945422,CA,"18070201",Seal Beach,Y
"34002545021",2956973,NJ,"02040201",Crosswicks-Neshaminy,Y
"45000279001",1157190,SC,"03050109",Saluda,Y
"41000008001",1164263,OR,"17090009",Molalla-Pudding,Y
"40000179001",1172571,OK,"11070107",Bird,Y
"13000779001",1109603,GA,"03060204",Ogeechee Coastal,Y
"48004026801",3507483,TX,"12030105",Upper Trinity,Y
"17000463001",1113734,IL,"07120004",Des Plaines,Y
"17007204001",1114309,IL,"07140202",Middle Kaskaskia,Y
"09000690001",1071854,CT,"01100001",Quinebaug,Y
