"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"31000545001",1230189,NE,Wastewater,Receiving Collection,24123,28512,,,24123,28512,0,0,1,1,24123,28512,,,,,,Y
"20000820001",1230911,KS,Wastewater,Receiving Collection,72,72,,,72,72,0,0,1,1,72,72,,,,,,Y
"20000841001",1230912,KS,Wastewater,Receiving Collection,2120,2120,,,2120,2120,0,0,1,1,2120,2120,,,,,,Y
"20001255001",1230933,KS,Wastewater,Receiving Collection,229,229,,,229,229,0,0,1,1,229,229,,,,,,Y
"27004401001",1231537,MN,Wastewater,Receiving Collection,1645,1645,,,1742,1742,0,0,1,1,1742,1742,,,,,Y,Y
"27005003001",1231538,MN,Wastewater,Receiving Collection,178,178,,,178,178,0,0,1,1,178,178,,,,,,Y
"27007909001",1231554,MN,Wastewater,Receiving Collection,9140,9140,,,9140,9140,0,0,1,1,9140,9140,,,,,,Y
"36009123001",1232193,NY,Wastewater,Receiving Collection,1120,1120,,,2240,1120,0,0,1,0,2240,0,,,,,Y,
"17005904001",1232749,IL,Wastewater,Receiving Collection,501,501,,,501,501,0,0,1,1,501,501,,,,,,Y
"29002801005",1233267,MO,Wastewater,Receiving Collection,2080,2080,0,0,2080,2080,0,0,1,1,2080,2080,,,,,,Y
"29004590001",1233310,MO,Wastewater,Receiving Collection,177,177,,,177,177,0,0,1,1,177,177,,,,,,Y
"18003210001",1234193,IN,Wastewater,Receiving Collection,1600,1600,,,1600,1600,0,0,1,1,1600,1600,,,,,,Y
"18005251001",1234217,IN,Wastewater,Receiving Collection,2304,2304,,,2304,2304,0,0,1,1,2304,2304,,,,,,Y
"19000267001",1234650,IA,Wastewater,Receiving Collection,882,882,,,882,882,0,0,1,1,882,882,,,,,,Y
"47001510001",1235084,TN,Wastewater,Receiving Collection,2622,2622,,,2622,2622,0,0,1,1,2622,2622,,,,,,Y
"37000502001",1236356,NC,Wastewater,Receiving Collection,278,274,,,278,274,0,0,1,1,278,274,,,,,,Y
"37008010001",1236393,NC,Wastewater,Receiving Collection,3472,3472,,,3472,3472,0,0,0,0,0,0,,,,,Y,
"40000648001",1236887,OK,Wastewater,Receiving Collection,2645,2645,,,2645,2645,0,0,1,1,2645,2645,,,,,,Y
"39006303001",1237829,OH,Wastewater,Receiving Collection,20000,21600,,,30263,31863,0,0,1,1,30263,31863,,,,,Y,Y
"26000460001",1239211,MI,Wastewater,Receiving Collection,10445,10445,,,10445,10445,0,0,1,1,10445,10445,,,,,,Y
"13000830001",1239510,GA,Wastewater,Receiving Collection,2195,2634,,,2195,2634,0,0,1,1,2195,2634,,,,,,Y
"30300245001",2819822,MT,Wastewater,Receiving Collection,1535,1535,,,1535,1535,0,0,1,1,1535,1535,,,,,,Y
"36009062002",2831620,NY,Wastewater,Receiving Collection,234,234,,,234,234,0,0,0,0,0,0,,,,,Y,
"20000226001",2919157,KS,Wastewater,Receiving Collection,257,257,,,257,257,0,0,0,0,0,0,,,,,Y,
"12000001038",2922293,FL,Wastewater,Receiving Collection,66295,66295,,,66295,66295,0,0,1,1,66295,66295,1,1,66295,66295,,Y
"54005003001",2985508,WV,Wastewater,Receiving Collection,3617,3617,116,116,3617,3617,116,116,0,0,0,0,,,,,Y,
"34009504001",1073966,NJ,Wastewater,Receiving Collection,8327,8327,,,8327,8327,0,0,0,0,0,0,,,,,Y,
"12000084001",1078216,FL,Wastewater,Receiving Collection,82232,82232,16865,16865,82652,82697,16865,16865,0,0,0,0,,,,,Y,
"12000100001",1078244,FL,Wastewater,Receiving Collection,2200,3500,572,572,2200,3500,572,572,1,1,2200,3500,,,,,,Y
"12000265001",1078393,FL,Wastewater,Receiving Collection,13047,13047,,,13047,13047,0,0,1,1,13047,13047,1,1,13047,13047,,Y
"39000032001",1080454,OH,Wastewater,Receiving Collection,472,472,,,472,472,0,0,0,0,0,0,,,,,Y,
"39000165001",1080590,OH,Wastewater,Receiving Collection,3113,3113,,,3113,3113,0,0,1,1,3113,3113,,,,,,Y
"39000188001",1080610,OH,Wastewater,Receiving Collection,1188,1188,,,1188,1188,0,0,1,1,1188,1188,,,,,,Y
"39005635001",1081311,OH,Wastewater,Receiving Collection,1839,1839,,,4843,4843,0,0,1,1,4843,4843,,,,,Y,Y
