"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"01000125001",1101956,AL,Outfall To Surface Waters,100,100,
"01000145002",1101980,AL,Outfall To Surface Waters,100,100,
"01000192001",1102023,AL,Outfall To Surface Waters,100,100,
"05000026001",1104897,AR,Outfall To Surface Waters,100,100,
"05000147001",1104979,AR,Outfall To Surface Waters,100,100,
"05000266001",1105092,AR,Outfall To Surface Waters,100,100,
"05000282004",1105110,AR,Outfall To Surface Waters,100,100,
"05000315001",1105141,AR,Outfall To Surface Waters,100,100,
"05000341001",1105158,AR,Outfall To Surface Waters,100,100,
"05000454001",1105243,AR,Outfall To Surface Waters,100,100,
"05000475001",1105260,AR,Outfall To Surface Waters,100,100,
"05000667001",1105465,AR,Outfall To Surface Waters,100,100,
"13000022028",1108983,GA,Outfall To Surface Waters,100,100,
"13000081001",1109084,GA,Outfall To Surface Waters,100,100,
"13000111001",1109114,GA,Outfall To Surface Waters,100,100,
"13000210001",1109243,GA,Outfall To Surface Waters,98,98,
"13000210001",1109243,GA,Reuse: Irrigation,2,2,
"17000015002",1113308,IL,Outfall To Surface Waters,100,100,
"17000022001",1113315,IL,Outfall To Surface Waters,100,100,
"17000029001",1113321,IL,Outfall To Surface Waters,100,100,
"17000154001",1113430,IL,Outfall To Surface Waters,100,0,
"17000222001",1113497,IL,Discharge To Another Facility,100,100,"17000721001"
"17000447050",1113718,IL,Discharge To Another Facility,100,100,"17000721009"
"17000644001",1113914,IL,Discharge To Another Facility,20,20,"17000643003"
"17000644001",1113914,IL,Discharge To Another Facility,80,80,"17000643001"
"17000710001",1113978,IL,Outfall To Surface Waters,100,100,
"17001013001",1114036,IL,Outfall To Surface Waters,100,100,
"17003814001",1114172,IL,Outfall To Surface Waters,100,100,
"17003817001",1114174,IL,Outfall To Surface Waters,100,100,
"17003903001",1114178,IL,Outfall To Surface Waters,100,100,
"17009313001",1114413,IL,Outfall To Surface Waters,100,100,
"18000303001",1120162,IN,Outfall To Surface Waters,100,100,
"18000804001",1120217,IN,Outfall To Surface Waters,100,100,
"18003050001",1120283,IN,Outfall To Surface Waters,100,100,
"18003250001",1120301,IN,Outfall To Surface Waters,100,100,
"18003430001",1120318,IN,Outfall To Surface Waters,100,100,
"18004111001",1120327,IN,Outfall To Surface Waters,100,100,
"18004211001",1120339,IN,Outfall To Surface Waters,100,100,
"18004653001",1120388,IN,Outfall To Surface Waters,100,100,
"18004664001",1120395,IN,Outfall To Surface Waters,100,100,
"19000011001",1123460,IA,Outfall To Surface Waters,100,100,
"19000027001",1123476,IA,Outfall To Surface Waters,100,100,
"19000087001",1123527,IA,Outfall To Surface Waters,100,100,
"19000116001",1123549,IA,Outfall To Surface Waters,100,100,
"19000224001",1123642,IA,Outfall To Surface Waters,100,100,
"19000232001",1123650,IA,Outfall To Surface Waters,100,100,
"19000317001",1123724,IA,Outfall To Surface Waters,100,100,
"19000337001",1123740,IA,Outfall To Surface Waters,100,100,
"19000416001",1123810,IA,Outfall To Surface Waters,100,100,
"19000478001",1123869,IA,Outfall To Surface Waters,100,100,
"19000645001",1124018,IA,Outfall To Surface Waters,100,100,
"16000140001",1128671,ID,Outfall To Surface Waters,100,100,
"20000124001",1130133,KS,Outfall To Surface Waters,100,100,
"20000173001",1130177,KS,Outfall To Surface Waters,100,100,
"20000307001",1130215,KS,Evaporation,100,100,
"20000317001",1130221,KS,Evaporation,100,100,
"20000702001",1130364,KS,Outfall To Surface Waters,100,100,
"20000737001",1130389,KS,Outfall To Surface Waters,100,100,
"20000750001",1130397,KS,Outfall To Surface Waters,100,100,
"20000814001",1130408,KS,Outfall To Surface Waters,100,100,
"20000860001",1130416,KS,Outfall To Surface Waters,100,100,
"20001135001",1130523,KS,Outfall To Surface Waters,100,100,
"20001314001",1130583,KS,Evaporation,100,100,
"20001411001",1130618,KS,Evaporation,100,100,
"20001556001",1130657,KS,Outfall To Surface Waters,100,100,
"46000092001",1179192,SD,Outfall To Surface Waters,100,100,
"46000112001",1179209,SD,"No Discharge, unknown",100,100,
"53000360001",1180791,WA,Outfall To Surface Waters,100,100,
"53000657001",1180825,WA,Discharge To Another Facility,100,100,"53000776002"
"53000683004",1180831,WA,Discharge To Another Facility,100,100,"53000190001"
"53000921001",1180864,WA,Ocean Discharge,69,69,
"53001875001",1181008,WA,Outfall To Surface Waters,100,100,
"48000001001",1182782,TX,Outfall To Surface Waters,100,100,
"48000167001",1182848,TX,Evaporation,100,100,
"48001109001",1182914,TX,Outfall To Surface Waters,100,100,
"37009806001",3487853,NC,Discharge To Another Facility,100,100,"37009801002"
"37005007001",3489352,NC,Outfall To Surface Waters,100,100,
"08209000001",3500151,CO,Reuse: Environmental restoration and groundwater discharge,100,100,
"08209000153",3501034,CO,Outfall To Surface Waters,100,100,
"17000234005",3509056,IL,Discharge To Another Facility,50,50,"17000234001"
"17000234005",3509056,IL,Discharge To Another Facility,50,50,"17000234004"
