"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RES_POP_PER_UNIT","RES_NUM_OF_UNIT_2022","RES_NUM_OF_UNIT_2042","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRES_POP_PER_UNIT","NONRES_NUM_OF_UNIT_2022","NONRES_NUM_OF_UNIT_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042"
"09000000033",3606409,CT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,4802,4846,12005,12115,,,,,
"25000046002",3606415,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,2610,2610,7099.2,7099.2,,,,,
"25000070002",3606416,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,4904,4904,13338.88,13338.88,,,,,
"25000383002",3606417,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,14,14,38.08,38.08,,,,,
"24070067002",3603664,MD,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.62,7456,7456,19534.72,19534.72,,,,,
"09000410002",3604609,CT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,1368,1651,3420,4127.5,,,,,
"09000930004",3604610,CT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.5,708,708,1770,1770,,,,,
"09001650002",3604611,CT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.48,605,605,1500.4,1500.4,,,,,
"25000171004",3604616,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,197,197,535.84,535.84,,,,,
"25000200002",3604617,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,5121,5121,13929.12,13929.12,,,,,
"25000219002",3605571,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,132,132,359.04,359.04,,,,,
"25000229002",3605572,MA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.72,7374,7374,20057.28,20057.28,2.72,2960,2960,8051.2,8051.2
"31001706002",3606427,NE,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.63,33,33,86.79,86.79,,,,,
"50000002009",3606463,VT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.3,252,0,579.6,0,2.3,119,0,273.7,0
"05000365002",3606475,AR,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,125,125,315,315,,,,,
"05000594002",3603708,AR,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,47,47,118.44,118.44,,,,,
"16000045002",3604626,ID,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.2,20,20,44,44,,,,,
"32000000002",3604634,NV,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.77,13,13,36.01,36.01,2.77,15,15,41.55,41.55
"30000207002",3604642,MT,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.37,51,51,120.87,120.87,,,,,
"22000000179",3607705,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,4152,4152,10795.2,10795.2,2.6,,,,
"36000000250",3606748,NY,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.54,367,0,932.18,0,2.54,,,,
"22000000123",3607509,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,8295,8295,21567,21567,2.6,,,,
"22000000124",3607510,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,8007,8007,20818.2,20818.2,2.6,,,,
"22000000125",3607511,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,1685,1685,4381,4381,2.6,,,,
"22000000128",3607514,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,22403,22403,58247.8,58247.8,2.6,,,,
"22000000130",3607516,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,3274,3274,8512.4,8512.4,2.6,,,,
"22000000140",3607557,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,5720,5720,14872,14872,2.6,,,,
"22000000142",3607571,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,3010,3010,7826,7826,2.6,,,,
"22000000145",3607612,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,4996,4996,12989.6,12989.6,2.6,,,,
"22000000147",3607614,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,15857,15857,41228.2,41228.2,2.6,,,,
"22000000148",3607615,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,17598,17598,45754.8,45754.8,2.6,,,,
"22000000155",3607625,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,7697,7697,20012.2,20012.2,2.6,,,,
"22000000156",3607626,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,5,5,13,13,2.6,,,,
"13000000394",3607594,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,39500,0,102700,2.69,,,,
"22000000166",3607659,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,282,282,733.2,733.2,2.6,,,,
"13000000409",3607634,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,90327,90327,234850.2,234850.2,2.6,,,,
"22000000173",3607699,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,13710,13710,35646,35646,2.6,,,,
"22000000176",3607702,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,10496,10496,27289.6,27289.6,2.6,,,,
"22000000181",3607708,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,2540,2540,6604,6604,2.6,,,,
"22000000182",3607710,LA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,2929,2929,7615.4,7615.4,2.6,,,,
"13000000392",3607592,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,15640,0,40664,2.6,,,,
"13000000383",3607460,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,88,0,228.8,2.6,,,,
"13000000401",3607616,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,11236,0,29213.6,2.6,,,,
"13000000384",3607461,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,312,0,811.2,2.69,,,,
"13000000385",3607462,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,3136,0,8153.6,2.69,,,,
"13000000412",3607638,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,34479,34479,89645.4,89645.4,2.69,,,,
"13000000416",3607643,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,15403,15403,40047.8,40047.8,2.69,,,,
"16000184001",1128708,ID,Decentralized Wastewater Treatment,Clustered Systems,2.68,5,,13.4,,2.68,5,,13.4,
"16000184001",1128708,ID,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.68,5,,13.4,,2.68,5,,13.4,
"13000000402",3607621,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,151832,151832,394763.2,394763.2,2.69,,,,
"13000000374",3607444,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,21632,0,56243.2,2.69,,,,
"13000000377",3607450,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,7848,0,20404.8,2.69,,,,
"13000000376",3607449,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,10512,0,27331.2,2.69,,,,
"13000000380",3607457,GA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.6,0,18932,0,49223.2,2.69,,,,
"38000000075",3608354,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.46,2459,4519,6049.14,11116.74,,,,,
"38000000023",3608302,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.23,510,510,1137.3,1137.3,,,,,
"38000000026",3608305,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.41,327,362,788.07,872.42,,,,,
"38000000032",3608311,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.19,612,683,1340.28,1495.77,2.28,,,,
"38000000034",3608313,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.2,460,597,1012,1313.4,,,,,
"38000000037",3608316,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.09,783,983,1636.47,2054.47,,,,,
"38000000041",3608320,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.19,558,738,1222.02,1616.22,,,,,
"38000000043",3608322,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.37,379,389,898.23,921.93,,,,,
"38000000044",3608323,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.26,575,790,1299.5,1785.4,,,,,
"38000000047",3608326,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.27,1150,1340,2610.5,3041.8,,,,,
"38000000050",3608329,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.21,2081,2836,4599.01,6267.56,,,,,
"38000000053",3608332,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,3.07,1212,1816,3720.84,5575.12,,,,,
"38000000058",3608337,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.4,1602,2026,3844.8,4862.4,,,,,
"38000000061",3608340,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.4,1990,2562,4776,6148.8,,,,,
"38000000064",3608343,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,1.93,432,497,833.76,959.21,,,,,
"38000000066",3608345,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.28,326,331,743.28,754.68,,,,,
"38000000068",3608347,ND,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.24,461,469,1032.64,1050.56,,,,,
"02000500079",3608473,AK,Decentralized Wastewater Treatment,Clustered Systems,2.79,100,200,279,558,2.79,40,80,111.6,223.2
